Age_Group,Gender,Occupation,Income,Shopping_Frequency,Platform,Monthly_Spend,Style,Struggle_Outfits,Occasion_Issue,Body_Fit_Issue,Lack_Inspiration,Budget_Issue,AI_Outfit_Interest,Virtual_TryOn_Interest,Wardrobe_Feature,MixMatch_Feature,AI_Chat,Budget_Feature,Privacy_Comfort,Purchase_Driver,Outfit_Budget,Subscription_Amount,Adoption
22-25,Female,Working Professional,50000-100000,2-3 months,Online,2748.4539,Trendy,0,1,1,0,1,1,1,1,1,1,0,Medium,Recommendation,3435.2805,445.16532,Maybe
30,Female,Working Professional,<20000,2-3 months,Online,4459.8487,Minimal,1,1,0,1,1,1,1,0,1,1,0,Medium,Trend,2358.4231,110.63504,Yes
26-30,Male,Working Professional,100000,Weekly,Online,5555.5953,Experimental,1,1,1,1,0,1,1,0,1,0,0,Medium,Trend,606.22629,415.69186,Yes
22-25,Female,Student,50000-100000,Rarely,Offline,2535.4009,Formal,1,1,1,1,0,1,0,0,1,1,1,Medium,Brand,4235.2779,319.27131,Maybe
18-21,Female,Student,<20000,Monthly,Online,5562.7162,Minimal,1,1,0,0,0,1,1,1,1,0,0,Low,Price,6265.3422,231.74813,Yes
18-21,Male,Student,100000,Monthly,Mixed,4104.7455,Minimal,1,1,0,1,0,1,1,1,1,1,1,Medium,Trend,300,134.18962,Yes
18-21,Female,Working Professional,20000-50000,2-3 months,Online,6090.9205,Formal,0,0,1,0,0,0,1,1,0,0,1,Medium,Price,4605.4287,349.3904,Maybe
30,Male,Working Professional,<20000,Monthly,Offline,3597.1602,Casual,0,1,1,1,1,1,0,0,1,1,1,Medium,Brand,1797.5483,169.12128,Maybe
26-30,Female,Working Professional,50000-100000,2-3 months,Instagram,4762.4893,Trendy,1,1,0,1,1,1,1,0,0,0,0,Medium,Trend,1999.797,481.19302,Yes
26-30,Female,Student,20000-50000,Weekly,Instagram,3918.7875,Experimental,0,0,0,0,0,1,1,0,1,1,0,Low,Price,2904.4592,486.66759,Yes
18-21,Female,Student,50000-100000,2-3 months,Mixed,3807.5755,Casual,1,1,1,1,1,1,1,0,0,1,0,High,Price,691.71508,546.3051,Yes
30,Female,Working Professional,50000-100000,Monthly,Instagram,4517.8609,Formal,1,1,0,1,0,1,1,0,1,0,1,Medium,Trend,2444.2923,342.13462,Yes
26-30,Male,Working Professional,100000,2-3 months,Mixed,5073.6149,Trendy,1,1,1,1,0,1,1,0,1,0,1,High,Recommendation,300,239.35353,Yes
18-21,Female,Student,20000-50000,Monthly,Online,1500.8702,Trendy,0,1,0,0,1,1,1,1,1,1,1,Medium,Fit,3214.1237,255.46461,Maybe
18-21,Female,Working Professional,20000-50000,2-3 months,Offline,6867.2672,Trendy,0,0,1,1,1,1,1,1,1,1,1,Low,Recommendation,5850.5831,244.48686,Yes
18-21,Female,Student,50000-100000,2-3 months,Online,500,Formal,1,1,0,0,0,1,1,1,1,1,0,High,Fit,1540.7028,337.20083,Yes
22-25,Female,Working Professional,<20000,Monthly,Online,2630.3758,Casual,1,1,1,1,1,1,0,0,1,1,1,High,Price,2246.885,365.49109,Maybe
22-25,Male,Working Professional,20000-50000,2-3 months,Online,3811.4619,Experimental,1,0,1,1,1,1,1,1,1,1,1,Medium,Trend,2320.7827,484.73465,Yes
22-25,Female,Student,20000-50000,Monthly,Online,4824.7119,Trendy,0,1,1,0,0,1,1,1,1,1,1,Low,Brand,3979.7029,303.01851,Yes
22-25,Male,Student,<20000,2-3 months,Online,21457.035,Trendy,0,0,0,0,0,1,1,0,1,0,0,High,Trend,6216.7171,89.5159,Yes
26-30,Non-binary,Working Professional,20000-50000,Monthly,Online,500,Casual,1,1,0,1,1,1,1,1,0,1,0,Medium,Recommendation,3880.519,238.88686,Yes
18-21,Female,Student,100000,2-3 months,Online,8953.8352,Trendy,1,1,0,1,1,1,1,1,1,0,0,High,Fit,3481.294,533.37777,Yes
22-25,Male,Working Professional,100000,2-3 months,Mixed,500,Trendy,1,1,0,0,0,1,1,1,0,1,1,Low,Trend,3150.3535,66.513214,Yes
22-25,Female,Working Professional,<20000,Monthly,Online,4063.2439,Formal,1,1,1,0,0,0,0,1,1,0,1,Medium,Fit,300,410.87249,Maybe
22-25,Female,Working Professional,<20000,Monthly,Instagram,4543.3672,Minimal,1,1,1,1,1,1,0,1,0,1,0,Medium,Recommendation,3501.1939,241.41403,Yes
26-30,Female,Working Professional,20000-50000,Monthly,Online,7181.5915,Casual,0,0,0,1,1,1,0,1,1,0,1,High,Recommendation,673.31094,167.48035,Maybe
18-21,Male,Working Professional,100000,2-3 months,Mixed,4241.2695,Casual,1,1,1,1,0,1,1,0,1,1,0,Medium,Trend,2008.6092,359.34166,Yes
22-25,Non-binary,Student,<20000,Monthly,Mixed,6088.0503,Casual,1,0,1,1,0,0,1,1,1,1,0,High,Brand,3617.8767,534.14295,Yes
22-25,Female,Working Professional,50000-100000,Monthly,Offline,5167.6742,Formal,1,0,1,1,1,1,1,1,0,0,0,Medium,Brand,300,351.06663,Yes
18-21,Male,Working Professional,<20000,2-3 months,Offline,3129.5036,Formal,0,1,1,0,1,1,1,1,1,1,0,Medium,Fit,4134.1492,260.61837,Yes
26-30,Female,Working Professional,50000-100000,Monthly,Online,1182.0785,Experimental,0,1,1,1,1,1,1,0,1,0,0,Medium,Trend,2313.5428,105.59261,Maybe
18-21,Female,Student,20000-50000,2-3 months,Mixed,4550.0046,Formal,1,0,1,1,1,1,1,0,0,0,0,Low,Price,4679.6732,285.17263,Yes
18-21,Female,Student,50000-100000,Monthly,Mixed,1015.796,Casual,0,0,1,0,1,0,1,1,1,1,1,High,Recommendation,1145.7338,100.17753,No
30,Non-binary,Self-employed,20000-50000,Weekly,Mixed,6590.4141,Experimental,1,1,1,1,1,1,0,1,0,0,0,High,Fit,300,253.51137,Yes
30,Male,Student,50000-100000,2-3 months,Offline,3675.8758,Minimal,0,0,0,1,1,1,0,0,1,0,1,Medium,Recommendation,2456.5799,290.54135,Maybe
26-30,Female,Self-employed,20000-50000,Weekly,Online,6390.3548,Trendy,0,0,1,1,1,0,1,1,1,1,1,Medium,Fit,3380.6141,50,Maybe
22-25,Female,Self-employed,50000-100000,Monthly,Mixed,3039.5711,Trendy,1,0,1,1,1,0,1,0,1,1,1,High,Trend,3506.4054,508.24833,Yes
18-21,Female,Working Professional,100000,2-3 months,Online,4537.7016,Experimental,1,0,1,1,1,1,1,1,1,1,1,High,Fit,796.7678,114.22178,Yes
26-30,Female,Working Professional,<20000,Monthly,Offline,4418.6977,Minimal,1,1,0,0,1,1,1,1,1,0,0,Medium,Fit,300,272.10612,Yes
22-25,Female,Working Professional,100000,Rarely,Online,3909.9118,Trendy,0,1,0,1,0,1,1,0,0,0,0,High,Price,2031.514,380.07499,Yes
18-21,Male,Working Professional,20000-50000,Rarely,Mixed,3134.681,Experimental,1,1,0,0,0,1,1,1,1,0,0,Low,Fit,3274.666,496.28246,Yes
22-25,Female,Student,<20000,Monthly,Online,4784.912,Formal,0,0,0,1,0,1,1,0,1,1,0,Medium,Brand,3198.6802,181.17705,Yes
18-21,Female,Working Professional,20000-50000,Weekly,Online,2147.6735,Casual,0,0,1,1,0,0,1,1,1,1,0,Low,Fit,4858.1895,50,No
30,Female,Working Professional,<20000,2-3 months,Offline,1581.1293,Minimal,1,0,0,1,0,1,0,0,1,0,1,Low,Fit,1939.8172,461.79956,Maybe
22-25,Male,Working Professional,50000-100000,Monthly,Instagram,6485.6538,Trendy,0,0,0,0,1,0,0,1,0,1,1,Medium,Trend,300,112.57577,No
26-30,Male,Working Professional,50000-100000,Weekly,Offline,5454.336,Casual,1,0,1,0,0,1,1,0,1,1,0,Medium,Fit,4294.9997,353.91649,Yes
22-25,Female,Working Professional,<20000,2-3 months,Online,4131.7832,Experimental,1,0,1,1,0,1,1,1,1,1,0,Medium,Price,2792.793,363.23846,Yes
22-25,Male,Working Professional,20000-50000,Weekly,Online,7330.2848,Trendy,1,0,0,1,0,1,1,1,1,0,0,Low,Trend,2923.2819,50,No
22-25,Female,Working Professional,50000-100000,2-3 months,Instagram,3464.469,Casual,1,1,0,0,0,1,0,0,1,1,0,Medium,Recommendation,3650.6356,57.774484,Yes
18-21,Female,Student,100000,Weekly,Mixed,6645.4064,Formal,1,0,1,0,1,0,1,0,1,1,1,High,Brand,4395.4654,230.87832,Yes
30,Female,Self-employed,20000-50000,Weekly,Mixed,4351.1482,Minimal,0,0,0,1,0,1,1,0,0,0,0,Medium,Brand,2465.47,50,Yes
26-30,Female,Working Professional,100000,Weekly,Online,1950.4985,Experimental,1,0,1,1,0,1,1,0,1,1,1,Medium,Recommendation,4264.8274,99.292309,Yes
30,Female,Working Professional,20000-50000,Rarely,Mixed,7696.0804,Trendy,1,0,0,1,1,1,1,1,1,1,1,High,Fit,3328.2044,318.43178,Yes
30,Male,Working Professional,20000-50000,2-3 months,Online,5981.4217,Formal,1,1,1,0,0,0,0,1,0,0,0,High,Price,1516.6264,286.72745,Maybe
22-25,Male,Working Professional,50000-100000,2-3 months,Offline,3757.9579,Minimal,0,0,0,1,1,1,0,0,1,1,0,High,Price,2150.1423,345.39816,Maybe
30,Male,Student,20000-50000,Monthly,Online,5454.3425,Minimal,1,0,1,1,0,1,0,1,1,0,0,Low,Price,3425.116,367.38315,Yes
18-21,Female,Working Professional,20000-50000,Monthly,Online,3192.5931,Formal,1,0,0,0,0,1,0,1,0,0,1,High,Price,1436.7629,50,Yes
18-21,Female,Student,20000-50000,Monthly,Instagram,5658.2981,Trendy,1,0,0,1,0,1,1,1,1,1,1,High,Fit,3829.6887,107.27276,Yes
18-21,Male,Working Professional,50000-100000,Monthly,Offline,500,Minimal,1,1,0,1,0,1,0,0,1,1,0,Medium,Recommendation,2737.2753,414.20493,Maybe
22-25,Female,Self-employed,50000-100000,Monthly,Online,1960.3973,Experimental,1,1,1,0,0,1,1,0,0,1,1,Low,Recommendation,3072.4274,528.64954,Yes
22-25,Female,Student,20000-50000,2-3 months,Online,5958.5195,Casual,1,0,1,1,0,0,0,1,1,0,0,High,Brand,4660.758,154.88879,Maybe
22-25,Female,Student,20000-50000,Monthly,Online,3500.6889,Experimental,1,1,0,1,1,1,0,0,1,1,0,Medium,Recommendation,3034.8503,338.83584,Yes
26-30,Male,Working Professional,20000-50000,Rarely,Offline,4415.0846,Minimal,0,0,0,0,1,1,1,0,1,1,1,High,Price,2607.1178,421.06243,Yes
